ToolKitProtoSystemToolProtocol	39	search	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	4
ToolKitProtoSystemToolProtocol	43	showInAppStringSearchResults	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.ShowInAppStringSearchResults	0	16
ToolKitProtoSystemToolProtocol	45	navigateSequentially	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	1
ToolKitProtoSystemToolProtocol	48	cameraCapture	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	1
ToolKitProtoSystemToolProtocol	50	entityUpdating	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.EntityUpdating	0	245
ToolKitProtoSystemToolProtocol	52	sendMail	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	1
ToolKitProtoSystemToolProtocol	53	setMailMessageIsRead	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	1
ToolKitProtoSystemToolProtocol	54	siriKitIntent	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.SiriKitIntent	0	105
ToolKitProtoSystemToolProtocol	55	intentSideEffect	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.IntentSideEffect	0	204
ToolKitProtoSystemToolProtocol	56	assistantSchema	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.AssistantSchema	0	171
ToolKitProtoSystemToolProtocol	59	assistantInvocable	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	370
ToolKitProtoSystemToolProtocol	60	appIntent	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.AppIntent	0	1214
ToolKitProtoSystemToolProtocol	61	systemFrameworkIntent	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	36
ToolKitProtoSystemToolProtocol	62	synthesizedTool	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.SynthesizedToolProtocol	0	483
ToolKitProtoSystemToolProtocol	63	progressReporting	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	35
ToolKitProtoSystemToolProtocol	64	controlConfiguration	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	6
ToolKitProtoSystemToolProtocol	65	valueSetting	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	13
ToolKitProtoSystemToolProtocol	66	entityGetter	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	242
ToolKitProtoSystemToolProtocol	67	flowToolSchema	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.FlowToolSchema	0	48
ToolKitProtoSystemToolProtocol	69	agentIntent	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.AgentIntent	0	1
ToolKitProtoSystemToolProtocol	70	batchable	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	1030
ToolKitProtoSystemToolProtocol.AgentIntent	1	supportedFeatures	repeated	enum	ToolKit.ToolKitProtoSystemToolProtocol.AgentIntent.SupportedFeature		1
ToolKitProtoSystemToolProtocol.AppIntent	1	intentTypeName	singular	string			1214
ToolKitProtoSystemToolProtocol.AssistantSchema	1	identifier	singular_presence	message	ToolKit.ToolKitProtoAssistantSchemaIdentifier		171
ToolKitProtoSystemToolProtocol.EntityUpdating	1	entityIdentifier	singular	string			245
ToolKitProtoSystemToolProtocol.FlowToolSchema	1	identifier	singular_presence	message	ToolKit.ToolKitProtoFlowToolSchemaIdentifier		48
ToolKitProtoSystemToolProtocol.IntentSideEffect	1	unknown	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	139
ToolKitProtoSystemToolProtocol.IntentSideEffect	4	stateChangeWithBehavior	singular_presence	message	ToolKit.ToolKitProtoSystemToolProtocol.IntentSideEffect.StateChangeWithBehavior	0	65
ToolKitProtoSystemToolProtocol.IntentSideEffect.Behavior	2	keyPathsToRender	repeated	string			24
ToolKitProtoSystemToolProtocol.IntentSideEffect.StateChangeWithBehavior	1	stateChangeRawValue	singular	int32			65
